title,brand,final_price,images_count,weight,rating,reviews_count
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,5.35,2,7.2,4.6,10229
Call Me by Your Name: A Novel,André Aciman,10.89,2,8,4.7,16661
First 100 Words: A Padded Board Book,Roger Priddy,4.78,3,8,4.7,31423
Still Life,Louise Penny,9.76,3,9.6,4.3,16032
On the Night You Were Born,Nancy Tillman,4.98,3,8.9,4.9,13550
Winter Garden,Kristin Hannah,7.56,4,14.4,4.6,18128
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,10.16,6,15.9,4.7,18585
Outliers: The Story of Success,Malcolm Gladwell,14.15,1,10.6,4.7,18586
The Office: A Day at Dunder Mifflin Elementary,Robb PearlmanMelanie Demmer,11.51,4,14.4,4.9,12835
Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,Marcus Luttrell,10.16,4,12.8,4.8,16175
"Troubles in Paradise (Volume 3) (Paradise, 3)",Elin Hilderbrand,13.08,1,10.7,4.5,14680
Little Leaders: Bold Women in Black History (Vashti Harrison),Vashti Harrison,11.48,5,15.2,4.9,10893
The Invisible String,Patrice KarstJoanne Lew-Vriethoff,8.99,4,7.1,4.8,14226
The Cuckoo's Calling (Cormoran Strike),Robert Galbraith,11.8,6,14.6,4.2,24202
Talking to Strangers: What We Should Know about the People We Don't Know,Malcolm Gladwell,15.44,1,13.6,4.5,12835
"The Wicked King (The Folk of the Air, 2)",Holly Black,10.99,4,10.9,4.7,11069
"The Queen of Nothing (The Folk of the Air, 3)",Holly Black,10.99,2,10.6,4.7,12296
Circe,Madeline Miller,11.1,4,12.8,4.6,25601
"Sword of Destiny (The Witcher, 2)",Andrzej SapkowskiDavid French,15.49,3,11.2,4.8,11599
The Catcher in the Rye,J. D. Salinger,12.78,5,9.3,4.5,23720
The Catcher in the Rye,J.D. Salinger,5.21,4,4,4.5,23720
The Catcher in the Rye,J. D. Salinger,15.99,5,14.2,4.5,23720
The Autobiography of Malcolm X: As Told to Alex Haley,Alex Haley,6.99,4,8.6,4.8,13577
The Autobiography of Malcolm X (As Told to Alex Haley),Alex Haley,10.19,1,13.2,4.8,13577
Women Who Run with the Wolves: Myths and Stories of the Wild Woman Archetype,by Clarissa Pinkola Estés (Author),7.99,4,10,4.7,10746
Mindset: The New Psychology of Success,Carol S. Dweck,8.55,4,8.4,4.6,11514
I Know Why the Caged Bird Sings,Maya Angelou,7.92,3,5.3,4.8,16235
Defending Jacob: A Novel,William Landay,12.78,3,14.2,4.4,13375
Jurassic Park: A Novel,Michael Crichton,5.14,1,8.8,4.8,10147
Red Rising,Pierce Brown,10.39,1,12,4.6,11776
Sycamore Row (The Jake Brigance),John Grisham,7.49,3,12,4.6,31304
Gray Mountain: A Novel,John Grisham,7.48,1,9.6,4.0,25415
Small Great Things: A Novel,Jodi Picoult,13.58,1,14.4,4.7,20527
Call Me by Your Name: A Novel,André Aciman,21.08,1,13.6,4.7,16661
The Underground Railroad: A Novel,Colson Whitehead,13.01,1,8.8,4.5,17466
The Nickel Boys: A Novel,Colson Whitehead,10.88,2,8,4.6,17134
Deep Work,Cal Newport,13.7,2,13.3,4.6,10449
The Vanishing Half: Shortlisted for the Women's Prize 2021,Brit Bennett,16.6,2,10.7,4.4,78423
If Animals Kissed Good Night,Ann Whitford Paul,4.44,3,8.8,4.8,58744
Holes,Louis Sachar,18.99,2,13.4,4.8,15096
"The Pout-Pout Fish (A Pout-Pout Fish Adventure, 1)",Deborah DiesenDan Hanna,14.39,5,15.2,4.9,20615
The Pout-Pout Fish,Deborah Diesen,5,5,9.6,4.9,20615
"A Wrinkle in Time (A Wrinkle in Time Quintet, 1)",Madeleine L'Engle,11.69,3,12.5,4.6,10229
I Know Why the Caged Bird Sings,Maya Angelou,24,2,14.6,4.8,16235
The Monster at the End of This Book (Sesame Street) (Big Bird's Favorites Board Books),Jon Stone,4.74,1,4.2,4.9,23181
Junie B. Jones's First Boxed Set Ever! (Books 1-4),Barbara Park,14.01,1,9.6,4.8,13409
"Magic Tree House Boxed Set, Books 1-4: Dinosaurs Before Dark, The Knight at Dawn, Mummies in the Morning, and Pirates Past Noon",Mary Pope Osborne,11.95,1,9.6,4.8,16279
Happy Birthday to You! (Mini Pops),Dr. Seuss,8.99,1,4,4.8,10057
Rebecca,Daphne Du Maurier,10.19,3,10.8,4.5,10678
Coraline,Neil Gaiman,8.99,4,4.8,4.8,10883
Coraline,Neil Gaiman,13.64,1,10.4,4.8,10883
Slaughterhouse-Five: A Novel,Kurt Vonnegut,26,1,12.8,4.5,10947
Slaughterhouse-Five: A Novel (Modern Library 100 Best Novels),Kurt Vonnegut,14.99,1,7.5,4.5,10947
The Guernsey Literary and Potato Peel Pie Society,Mary Ann ShafferAnnie Barrows,10.1,4,7.8,4.7,13292
