School,percentage,SRS,SOS,TotalPoints,OppPoints,FGA,FGPercent,3P,3PA,3PPercent,FT,FTA,FTPercent,ORB,TRB,AST,STL,BLK,TOV,PF
Troy,0.606,1.39,-1.25,2414,2204,1945,0.441,255,798,0.32,443,632,0.701,362,1151,447,288,86,424,559
Tulane,0.645,5.46,2.69,2478,2392,1873,0.46,241,713,0.338,515,663,0.777,211,1037,485,262,130,351,511
Tulsa,0.167,-8.48,3.66,1959,2323,1733,0.413,230,735,0.313,299,463,0.646,271,958,348,164,45,397,464
UAB,0.744,10.96,1.7,3149,2740,2462,0.452,276,778,0.355,649,876,0.741,526,1595,551,314,166,488,664
UC Davis,0.563,-0.31,-1.74,2392,2274,1820,0.445,214,630,0.34,560,790,0.709,377,1186,389,227,90,471,600
UC Irvine,0.657,4.16,-0.6,2617,2352,2082,0.465,247,656,0.377,432,600,0.72,341,1296,518,245,87,431,666
UC Riverside,0.647,0.72,-0.34,2463,2352,2047,0.443,284,784,0.362,367,526,0.698,390,1251,450,175,61,417,629
UC San Diego,0.333,-6.94,-0.76,2057,2189,1720,0.43,228,695,0.328,349,472,0.739,249,1004,359,174,67,362,482
UC Santa Barbara NCAA,0.771,3.3,-2.03,2510,2305,1875,0.493,194,555,0.35,468,644,0.727,279,1113,495,222,87,397,562
UCLA NCAA,0.838,22.11,8.66,2743,2245,2245,0.46,227,651,0.349,450,616,0.731,418,1307,538,310,142,371,573
UNC Asheville NCAA,0.771,-1.74,-4.35,2604,2418,1890,0.475,274,707,0.388,536,772,0.694,295,1219,446,221,140,496,542
UNC Greensboro,0.625,1.66,-2.91,2306,2064,1831,0.446,254,718,0.354,420,587,0.716,330,1180,465,228,83,376,535
UNC Wilmington,0.706,-1.17,-3.05,2343,2187,1832,0.444,209,624,0.335,508,697,0.729,324,1130,365,230,95,408,624
UT Arlington,0.344,-4.98,2.12,2125,2190,1863,0.414,207,643,0.322,374,570,0.656,407,1148,432,204,96,443,619
Utah,0.531,11.34,6.53,2197,2043,1852,0.427,232,698,0.332,383,541,0.708,357,1254,462,161,126,384,487
Utah State NCAA,0.743,14.23,6.81,2736,2446,1975,0.479,325,840,0.387,517,678,0.763,300,1243,585,175,117,426,589
Utah Tech,0.424,-0.16,1.01,2495,2420,1802,0.459,285,749,0.381,554,787,0.704,321,1125,434,219,74,497,647
Utah Valley,0.757,8.48,1.83,2863,2538,2200,0.465,242,728,0.332,577,780,0.74,377,1492,594,239,242,509,646
UTEP,0.438,-0.74,1.82,2192,2192,1776,0.448,158,537,0.294,442,699,0.632,373,1122,385,288,85,505,576
UTSA,0.313,-7.74,1.16,2217,2450,1826,0.41,235,703,0.334,484,659,0.734,341,1132,334,137,81,439,563
Valparaiso,0.344,-8.72,-2.75,2206,2355,1852,0.44,198,668,0.296,380,522,0.728,251,1087,436,187,83,406,530
Vanderbilt,0.595,8.98,8.55,2661,2645,2187,0.425,310,922,0.336,491,690,0.712,417,1340,429,187,168,399,604
Vermont NCAA,0.676,1.63,-3.13,2471,2276,1901,0.474,292,816,0.358,377,541,0.697,220,1065,465,200,98,318,504
Villanova,0.5,10.61,8.69,2366,2301,1853,0.436,296,885,0.334,456,556,0.82,246,1078,377,194,58,343,538
Virginia NCAA,0.758,13.28,5.98,2237,1996,1765,0.449,220,629,0.35,431,613,0.703,273,1064,519,225,142,282,471
Virginia Commonwealth NCAA,0.771,9.89,1.95,2480,2202,1867,0.463,212,610,0.348,540,776,0.696,324,1161,456,311,160,468,575
VMI,0.219,-16.14,-3.45,2220,2457,1923,0.416,309,880,0.351,311,406,0.766,349,1131,365,172,37,411,484
Virginia Tech,0.559,9.36,5.3,2521,2383,1983,0.469,281,786,0.358,378,514,0.735,288,1131,528,177,107,336,526
Wagner,0.536,-11.81,-10.85,1766,1727,1627,0.403,181,583,0.31,275,403,0.682,360,1005,339,189,49,335,540
Wake Forest,0.576,8.25,5.43,2528,2435,1909,0.46,315,866,0.364,457,613,0.746,275,1129,444,199,90,399,528
Washington,0.5,6.78,7.94,2213,2250,1823,0.431,209,668,0.313,432,577,0.749,286,1083,368,220,165,448,529
Washington State,0.5,10.53,7.91,2324,2235,1919,0.424,310,832,0.373,388,542,0.716,369,1183,403,166,93,408,544
Weber State,0.545,-2.94,-1.33,2219,2229,1727,0.451,218,647,0.337,443,578,0.766,218,1032,351,200,47,422,580
West Virginia NCAA,0.559,15.95,10.89,2583,2411,1953,0.452,248,708,0.35,571,769,0.743,383,1152,442,227,104,440,632
Western Carolina,0.529,-6.34,-4.08,2513,2405,2015,0.432,289,849,0.34,482,674,0.715,335,1256,428,183,88,365,588
Western Illinois,0.533,-7.59,-4.73,2191,2171,1755,0.453,209,652,0.321,392,560,0.7,284,1034,410,174,107,322,434
Western Kentucky,0.515,-0.81,1.09,2355,2330,1907,0.44,249,695,0.358,428,601,0.712,300,1152,416,204,173,383,489
Western Michigan,0.258,-10.55,-2.34,2166,2295,1820,0.432,250,757,0.33,344,482,0.714,379,1146,396,143,68,395,522
Wichita State,0.531,5.78,3.25,2272,2191,1839,0.45,212,685,0.309,406,567,0.716,312,1163,426,203,129,401,478
William & Mary,0.394,-10.99,-4.18,2219,2320,1829,0.432,256,698,0.367,381,559,0.682,330,1095,401,199,67,398,533
Winthrop,0.469,-6.63,-3.59,2360,2382,1671,0.471,283,757,0.374,503,681,0.739,260,993,366,164,98,447,538
Wisconsin,0.571,10.98,9.29,2284,2225,2005,0.414,276,807,0.342,346,501,0.691,278,1110,406,207,52,302,554
Wofford,0.515,-5.02,-3.32,2466,2392,1916,0.473,247,748,0.33,407,552,0.737,312,1088,412,188,68,361,468
Wright State,0.545,-2.34,-5.89,2637,2432,2077,0.496,205,574,0.357,370,502,0.737,304,1212,495,207,99,419,514
Wyoming,0.29,2.02,6.12,2144,2234,1680,0.44,268,768,0.349,396,557,0.711,246,994,345,151,79,371,488
Xavier NCAA,0.73,16.03,9.16,2995,2741,2256,0.492,274,703,0.39,503,708,0.71,380,1396,705,236,120,459,593
Yale,0.7,7.81,-1.62,2273,1897,1764,0.477,224,620,0.361,367,529,0.694,298,1133,439,191,123,335,521
Youngstown State,0.706,1.67,-5.83,2785,2465,2088,0.487,271,743,0.365,480,616,0.779,351,1204,521,238,94,376,550
